
Epoch 1/10 train_loss=0.4296 train_acc=0.8447
Epoch 2/10 train_loss=0.3319 train_acc=0.8792
Epoch 3/10 train_loss=0.3140 train_acc=0.8846
Epoch 4/10 train_loss=0.2842 train_acc=0.8912
Epoch 5/10 train_loss=0.2640 train_acc=0.9018
Epoch 6/10 train_loss=0.2450 train_acc=0.9088
Epoch 7/10 train_loss=0.2217 train_acc=0.9174
Epoch 8/10 train_loss=0.2024 train_acc=0.9226
Epoch 9/10 train_loss=0.1974 train_acc=0.9235
Epoch 10/10 train_loss=0.2131 train_acc=0.9174

[12/25] Running cfg3_4x512_tanh_nesterov_xavier_run12
Epoch 1/15 train_loss=0.4127 train_acc=0.8437
Epoch 2/15 train_loss=0.3512 train_acc=0.8707
Epoch 3/15 train_loss=0.3384 train_acc=0.8741
Epoch 4/15 train_loss=0.3138 train_acc=0.8816
Epoch 5/15 train_loss=0.2757 train_acc=0.8977
Epoch 6/15 train_loss=0.2811 train_acc=0.8942
Epoch 7/15 train_loss=0.2985 train_acc=0.8904
Epoch 8/15 train_loss=0.2592 train_acc=0.9030
Epoch 9/15 train_loss=0.2325 train_acc=0.9151
Epoch 10/15 train_loss=0.2504 train_acc=0.9059
Epoch 11/15 train_loss=0.2391 train_acc=0.9057
Epoch 12/15 train_loss=0.2098 train_acc=0.9198
Epoch 13/15 train_loss=0.1816 train_acc=0.9314
Epoch 14/15 train_loss=0.1948 train_acc=0.9243
Epoch 15/15 train_loss=0.1623 train_acc=0.9404

[13/25] Running cfg1_3x512_relu_adam_he_run13
Epoch 1/10 train_loss=0.4032 train_acc=0.8521
Epoch 2/10 train_loss=0.3507 train_acc=0.8678
Epoch 3/10 train_loss=0.3530 train_acc=0.8627
Epoch 4/10 train_loss=0.2923 train_acc=0.8911
Epoch 5/10 train_loss=0.3123 train_acc=0.8818
Epoch 6/10 train_loss=0.3008 train_acc=0.8883
Epoch 7/10 train_loss=0.2774 train_acc=0.8968
Epoch 8/10 train_loss=0.2617 train_acc=0.9023
Epoch 9/10 train_loss=0.2540 train_acc=0.9047
Epoch 10/10 train_loss=0.2596 train_acc=0.9039

[14/25] Running cfg2_4x512_relu_adam_xavier_run14
Epoch 1/10 train_loss=0.3717 train_acc=0.8651
Epoch 2/10 train_loss=0.3045 train_acc=0.8869
Epoch 3/10 train_loss=0.3265 train_acc=0.8776
Epoch 4/10 train_loss=0.2842 train_acc=0.8923
Epoch 5/10 train_loss=0.2569 train_acc=0.9016
Epoch 6/10 train_loss=0.2279 train_acc=0.9139
Epoch 7/10 train_loss=0.2408 train_acc=0.9090
Epoch 8/10 train_loss=0.2235 train_acc=0.9131
Epoch 9/10 train_loss=0.2010 train_acc=0.9240
Epoch 10/10 train_loss=0.2064 train_acc=0.9202

[15/25] Running cfg3_4x512_tanh_nesterov_xavier_run15
Epoch 1/15 train_loss=0.4065 train_acc=0.8498
Epoch 2/15 train_loss=0.3437 train_acc=0.8734
Epoch 3/15 train_loss=0.3093 train_acc=0.8851
Epoch 4/15 train_loss=0.3155 train_acc=0.8851
Epoch 5/15 train_loss=0.2832 train_acc=0.8938
Epoch 6/15 train_loss=0.2697 train_acc=0.8997
Epoch 7/15 train_loss=0.2783 train_acc=0.8954
Epoch 8/15 train_loss=0.2598 train_acc=0.9019
Epoch 9/15 train_loss=0.2428 train_acc=0.9070
Epoch 10/15 train_loss=0.2214 train_acc=0.9159
Epoch 11/15 train_loss=0.2258 train_acc=0.9154
Epoch 12/15 train_loss=0.1815 train_acc=0.9316
Epoch 13/15 train_loss=0.1801 train_acc=0.9322
Epoch 14/15 train_loss=0.1777 train_acc=0.9321
Epoch 15/15 train_loss=0.1835 train_acc=0.9309

[16/25] Running cfg1_3x512_relu_adam_he_run16
Epoch 1/10 train_loss=0.4836 train_acc=0.8279
Epoch 2/10 train_loss=0.3792 train_acc=0.8641
Epoch 3/10 train_loss=0.3281 train_acc=0.8779
Epoch 4/10 train_loss=0.3183 train_acc=0.8825
Epoch 5/10 train_loss=0.3096 train_acc=0.8834
Epoch 6/10 train_loss=0.3153 train_acc=0.8803
Epoch 7/10 train_loss=0.2795 train_acc=0.8941
Epoch 8/10 train_loss=0.2540 train_acc=0.9049
Epoch 9/10 train_loss=0.2690 train_acc=0.8975
Epoch 10/10 train_loss=0.2649 train_acc=0.9012

[17/25] Running cfg2_4x512_relu_adam_xavier_run17
Epoch 1/10 train_loss=0.3401 train_acc=0.8761
Epoch 2/10 train_loss=0.3057 train_acc=0.8874
Epoch 3/10 train_loss=0.2735 train_acc=0.8963
Epoch 4/10 train_loss=0.2730 train_acc=0.8972
Epoch 5/10 train_loss=0.2636 train_acc=0.9002
Epoch 6/10 train_loss=0.2239 train_acc=0.9163
Epoch 7/10 train_loss=0.2319 train_acc=0.9125
Epoch 8/10 train_loss=0.2180 train_acc=0.9148
Epoch 9/10 train_loss=0.2070 train_acc=0.9202
Epoch 10/10 train_loss=0.1774 train_acc=0.9326

[18/25] Running cfg3_4x512_tanh_nesterov_xavier_run18
Epoch 1/15 train_loss=0.3881 train_acc=0.8590
Epoch 2/15 train_loss=0.3647 train_acc=0.8653
Epoch 3/15 train_loss=0.3292 train_acc=0.8759
Epoch 4/15 train_loss=0.3013 train_acc=0.8880
Epoch 5/15 train_loss=0.3323 train_acc=0.8734
Epoch 6/15 train_loss=0.2601 train_acc=0.9042
Epoch 7/15 train_loss=0.2602 train_acc=0.9033
Epoch 8/15 train_loss=0.2438 train_acc=0.9102
Epoch 9/15 train_loss=0.2539 train_acc=0.9010
Epoch 10/15 train_loss=0.2234 train_acc=0.9162
Epoch 11/15 train_loss=0.1944 train_acc=0.9262
Epoch 12/15 train_loss=0.2091 train_acc=0.9238
Epoch 13/15 train_loss=0.2141 train_acc=0.9195
Epoch 14/15 train_loss=0.1907 train_acc=0.9282
Epoch 15/15 train_loss=0.1665 train_acc=0.9371

[19/25] Running cfg1_3x512_relu_adam_he_run19
Epoch 1/10 train_loss=0.4045 train_acc=0.8474
Epoch 2/10 train_loss=0.3849 train_acc=0.8597
Epoch 3/10 train_loss=0.3269 train_acc=0.8722
Epoch 4/10 train_loss=0.3110 train_acc=0.8816
Epoch 5/10 train_loss=0.2874 train_acc=0.8904
Epoch 6/10 train_loss=0.2923 train_acc=0.8864
Epoch 7/10 train_loss=0.2891 train_acc=0.8850
Epoch 8/10 train_loss=0.2722 train_acc=0.8993
Epoch 9/10 train_loss=0.2557 train_acc=0.9042
Epoch 10/10 train_loss=0.2534 train_acc=0.9031

[20/25] Running cfg2_4x512_relu_adam_xavier_run20
Epoch 1/10 train_loss=0.3964 train_acc=0.8530
Epoch 2/10 train_loss=0.3359 train_acc=0.8799
Epoch 3/10 train_loss=0.2855 train_acc=0.8950
Epoch 4/10 train_loss=0.2802 train_acc=0.8968
Epoch 5/10 train_loss=0.2487 train_acc=0.9069
Epoch 6/10 train_loss=0.2283 train_acc=0.9140
Epoch 7/10 train_loss=0.2336 train_acc=0.9111
Epoch 8/10 train_loss=0.2242 train_acc=0.9144
Epoch 9/10 train_loss=0.2099 train_acc=0.9206
Epoch 10/10 train_loss=0.1983 train_acc=0.9234

[21/25] Running cfg3_4x512_tanh_nesterov_xavier_run21
Epoch 1/15 train_loss=0.4378 train_acc=0.8339
Epoch 2/15 train_loss=0.3367 train_acc=0.8756
Epoch 3/15 train_loss=0.3120 train_acc=0.8846
Epoch 4/15 train_loss=0.3221 train_acc=0.8824
Epoch 5/15 train_loss=0.2783 train_acc=0.8975
Epoch 6/15 train_loss=0.2692 train_acc=0.9009
Epoch 7/15 train_loss=0.2826 train_acc=0.8926
Epoch 8/15 train_loss=0.2336 train_acc=0.9121
Epoch 9/15 train_loss=0.2386 train_acc=0.9090
Epoch 10/15 train_loss=0.2221 train_acc=0.9166
Epoch 11/15 train_loss=0.2021 train_acc=0.9229
Epoch 12/15 train_loss=0.2082 train_acc=0.9227
Epoch 13/15 train_loss=0.1969 train_acc=0.9255
Epoch 14/15 train_loss=0.1909 train_acc=0.9270
Epoch 15/15 train_loss=0.1664 train_acc=0.9380

[22/25] Running cfg1_3x512_relu_adam_he_run22
Epoch 1/10 train_loss=0.4297 train_acc=0.8398
Epoch 2/10 train_loss=0.3429 train_acc=0.8719
Epoch 3/10 train_loss=0.3465 train_acc=0.8699
Epoch 4/10 train_loss=0.3066 train_acc=0.8868
Epoch 5/10 train_loss=0.3274 train_acc=0.8676
Traceback (most recent call last):
  File "C:\Users\moni9\OneDrive\Desktop\DL\da6401_assignment_1\src\Fashion_MNIST_Transfer_Challenge.py", line 398, in <module>
    main()
    ~~~~^^
  File "C:\Users\moni9\OneDrive\Desktop\DL\da6401_assignment_1\src\Fashion_MNIST_Transfer_Challenge.py", line 259, in main
    result = run_single_config(config, x_train, y_train, x_val, y_val, x_test, y_test)
  File "C:\Users\moni9\OneDrive\Desktop\DL\da6401_assignment_1\src\Fashion_MNIST_Transfer_Challenge.py", line 126, in run_single_config
    history = model.fit(x_train, y_train, x_val=x_val, y_val=y_val, verbose=True)
  File "C:\Users\moni9\OneDrive\Desktop\DL\da6401_assignment_1\src\ann\neural_network.py", line 246, in fit
    self.optimizer.step(self.params, grads)
    ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\moni9\OneDrive\Desktop\DL\da6401_assignment_1\src\ann\optimizers.py", line 75, in step
    params[key] -= self.learning_rate * m_hat / (np.sqrt(v_hat) + self.epsilon)
                                                 ~~~~~~~^^^^^^^
KeyboardInterrupt
